weekday,lesson_name,lesson_type,location,teacher,start_at,end_at
Среда,Информатика,Лекция,"Ауд. Актовый зал (1216/0 (усл)), ул.Ломоносова, д.9, лит. М",Балакшин Павел Валерьевич,8:20,9:50
Среда,Основы профессиональной деятельности,Лекция,"Ауд. Актовый зал (1216/0 (усл)), ул.Ломоносова, д.9, лит. М",Клименков Сергей Викторович,10:00,11:30
Среда,Основы дискретной математики,Лекция,"Ауд. 1428, Кронверкский пр., д.49, лит.А",Поляков Владимир Иванович,13:30,15:00
Среда,Основы дискретной математики,Практика,"Ауд. 1428, Кронверкский пр., д.49, лит.А",Поляков Владимир Иванович,15:20,16:50
Суббота,Математический анализ,Лекция,zoom,Блейхер Оксана Владимировна,10:00,11:30
Суббота,Программирование,Лабораторная,"Ауд. 1338, Кронверкский пр., д.49, лит.А",Кулинич Ярослав Вадимович,13:30,15:00
Суббота,Программирование,Лабораторная,"Ауд. 1338, Кронверкский пр., д.49, лит.А",Кулинич Ярослав Вадимович,15:20,16:50
